1|New York|2024/12/01|08:30|120
2|London|2024/12/02|15:45|50
3|Tokyo|2024/12/03|12:15|80
4|Paris|2024/12/04|09:20|100
5|Berlin|2024/12/05|17:10|60
6|Dubai|2024/12/06|23:55|70
7|Sydney|2024/12/07|18:30|85
8|Toronto|2024/12/08|10:00|90
9|Los Angeles|2024/12/09|14:50|95
10|Chicago|2024/12/10|07:15|120
11|Rome|2024/12/11|16:40|110
12|Mumbai|2024/12/12|22:20|75
13|Beijing|2024/12/13|11:00|65
14|Hong Kong|2024/12/14|20:10|55
15|Bangkok|2024/12/15|13:30|105
16|Singapore|2024/12/16|18:50|100
17|Istanbul|2024/12/17|06:40|45
18|Moscow|2024/12/18|21:30|50
19|Mexico City|2024/12/19|12:10|95
20|Seoul|2024/12/20|15:00|110
21|Barcelona|2024/12/21|19:25|100
22|Kuala Lumpur|2024/12/22|11:45|85
23|Buenos Aires|2024/12/23|16:10|90
24|Cape Town|2024/12/24|20:55|65
25|Athens|2024/12/25|09:30|75
26|Madrid|2024/12/26|13:00|60
27|Amsterdam|2024/12/27|22:15|55
28|San Francisco|2024/12/28|08:45|70
29|Miami|2024/12/29|12:35|85
30|Houston|2024/12/30|14:15|95
31|Melbourne|2024/12/31|17:40|50
32|Rio de Janeiro|2025/01/01|09:20|120
33|Lisbon|2025/01/02|11:10|90
34|Zurich|2025/01/03|13:50|100
35|Osaka|2025/01/04|16:30|85
36|Jakarta|2025/01/05|19:40|70
37|Vienna|2025/01/06|08:00|110
38|Stockholm|2025/01/07|10:15|75
39|Helsinki|2025/01/08|18:25|65
40|Prague|2025/01/09|20:50|95
41|Warsaw|2025/01/10|06:30|120
42|Munich|2025/01/11|14:10|105
43|Doha|2025/01/12|15:30|80
44|Oslo|2025/01/13|07:50|90
45|Brussels|2025/01/14|22:10|55
46|Vienna|2025/01/15|11:00|65
47|Dublin|2025/01/16|09:40|70
48|Copenhagen|2025/01/17|13:30|85
49|Budapest|2025/01/18|16:20|75
50|Manila|2025/01/19|21:50|95
51|Abu Dhabi|2025/01/20|23:15|50
52|Bucharest|2025/01/21|10:40|80
53|Shenzhen|2025/01/22|08:15|100
54|Edinburgh|2025/01/23|20:30|110
55|Casablanca|2025/01/24|14:10|120
56|Lima|2025/01/25|11:20|60
57|Perth|2025/01/26|18:15|70
58|Geneva|2025/01/27|13:25|90
59|Havana|2025/01/28|19:10|85
60|Caracas|2025/01/29|07:30|100
61|Panama City|2025/01/30|12:45|65
62|Bogotá|2025/01/31|22:00|55
63|Santiago|2025/02/01|15:40|95
64|Osaka|2025/02/02|17:20|75
65|Amman|2025/02/03|11:30|110
66|Reykjavik|2025/02/04|09:50|70
67|Kigali|2025/02/05|18:30|60
68|Accra|2025/02/06|10:00|85
69|Nairobi|2025/02/07|21:00|80
70|Cairo|2025/02/08|16:45|100
71|Baku|2025/02/09|08:15|50
72|Yerevan|2025/02/10|13:40|55
73|Tbilisi|2025/02/11|17:00|90
74|Riyadh|2025/02/12|19:50|75
75|Doha|2025/02/13|23:30|120
76|Kuwait City|2025/02/14|09:10|100
77|Lagos|2025/02/15|14:25|65
78|Johannesburg|2025/02/16|20:40|85
79|Dar es Salaam|2025/02/17|11:20|55
80|Algiers|2025/02/18|16:00|70
81|Kiev|2025/02/19|18:15|95
82|Riga|2025/02/20|07:50|75
83|Tallinn|2025/02/21|21:10|85
84|Vilnius|2025/02/22|11:40|100
85|Chennai|2025/02/23|14:20|105
86|Colombo|2025/02/24|19:10|70
87|Ho Chi Minh City|2025/02/25|22:30|90
88|Phnom Penh|2025/02/26|09:15|110
89|Hanoi|2025/02/27|18:50|50
90|Vientiane|2025/02/28|12:30|75
91|Luang Prabang|2025/03/01|20:20|65
92|Yangon|2025/03/02|16:30|85
93|Ulaanbaatar|2025/03/03|22:00|60
94|Tashkent|2025/03/04|11:15|100
95|Astana|2025/03/05|14:40|90
96|Bishkek|2025/03/06|19:25|75
97|Ashgabat|2025/03/07|08:50|85
98|Novosibirsk|2025/03/08|17:15|95
99|Vladivostok|2025/03/09|20:00|55
100|Irkutsk|2025/03/10|15:50|50
